"brandName","branchName","longitude","latitude","cityName"
 Teguk Indonesia,Island Teguk 07 Erafone Binus,106.78280670,-6.20235000,Jakarta Barat
 Teguk Indonesia,Island 17 SUPERINDO MUARA KARANG,106.78341730,-6.11733570,Jakarta Utara
 Teguk Indonesia,Island 24 SUPERINDO MALL BASURA,106.87771530,-6.22438910,Jakarta Timur
 Teguk Indonesia,Island 27 Boci Cempaka Putih,106.86186990,-6.18197120,Jakarta Pusat
 Teguk Indonesia,Teguk Cipinang Muara,106.89178000,-6.22249000,Jakarta Timur
 Teguk Indonesia,Teguk Condet Midi,106.85533662,-6.28358446,Jakarta Timur
 Teguk Indonesia,Teguk Raya Tengah 3,106.86011629,-6.29104055,Jakarta Timur
 Teguk Indonesia,Teguk Gerai Batu Ampar,106.86005307,-6.29104851,Jakarta Timur
 Teguk Indonesia,Teguk Klender,106.93223854,-6.22342204,Jakarta Timur
 Teguk Indonesia,Teguk Penggilingan,106.93586764,-6.20833302,Jakarta Timur
 Teguk Indonesia,Teguk Pulo Gebang,106.95557257,-6.20071087,Jakarta Timur
 Teguk Indonesia,Teguk Tanah Merdeka 2,106.88619172,-6.19284623,Jakarta Timur
 Teguk Indonesia,Teguk Rawa Mangun,106.88619708,-6.19282224,Jakarta Timur
 Teguk Indonesia,Hawker Jaksel 10,106.82566450,-6.33606010,Jakarta Selatan
 Teguk Indonesia,Hawker Jaksel 11,106.82566450,-6.33606010,Jakarta Selatan
 Teguk Indonesia,Hawker Jaksel 12,106.82566450,-6.33606010,Jakarta Selatan
 Teguk Indonesia,Hawker Jaksel 13,106.82566450,-6.33606010,Jakarta Selatan
 Teguk Indonesia,Hawker Jaksel 14,106.82566450,-6.33606010,Jakarta Selatan
 Teguk Indonesia,Hawker Jaksel 15,106.82566450,-6.33606010,Jakarta Selatan
 Teguk Indonesia,Hawker Jaksel 16,106.82566450,-6.33606010,Jakarta Selatan
 Teguk Indonesia,Hawker Jaksel 17,106.82566450,-6.33606010,Jakarta Selatan
 Teguk Indonesia,Hawker Jaksel 1,106.82566450,-6.33606010,Jakarta Selatan
 Teguk Indonesia,Hawker Jaksel 2,106.82566450,-6.33606010,Jakarta Selatan
 Teguk Indonesia,Hawker Jaksel 3,106.82566450,-6.33606010,Jakarta Selatan
 Teguk Indonesia,Hawker Jaksel 4,106.82566450,-6.33606010,Jakarta Selatan
 Teguk Indonesia,Hawker Jaksel 5,106.82566450,-6.33606010,Jakarta Selatan
 Teguk Indonesia,Hawker Jaksel 7,106.82566450,-6.33606010,Jakarta Selatan
 Teguk Indonesia,Hawker Jaksel 9,106.82566450,-6.33606010,Jakarta Selatan
 Teguk Indonesia,Teguk Kp Makssar,106.87667529,-6.27607155,Jakarta Timur
 Teguk Indonesia,Teguk Asem Baris,106.86038753,-6.23889620,Jakarta Selatan
 Teguk Indonesia,Teguk Peta Barat,106.69048488,-6.13284225,Jakarta Barat
 Teguk Indonesia,Teguk Meruya,106.74091211,-6.19877923,Jakarta Barat
 Teguk Indonesia,Teguk Sumur Batu,106.86507601,-6.16358387,Jakarta Pusat
 Teguk Indonesia,Teguk Utan Kayu,106.86930118,-6.19507303,Jakarta Timur
 Teguk Indonesia,Teguk Tebet,106.84842250,-6.22998940,Jakarta Selatan
 Teguk Indonesia,Teguk Cilandak,106.72373520,-6.28475510,Jakarta Selatan
 Teguk Indonesia,Teguk Sawah Besar,106.82355578,-6.16259114,Jakarta Pusat
 Teguk Indonesia,Teguk Srengseng Jagakarsa,106.82520790,-6.34645770,Jakarta Selatan
 Teguk Indonesia,Teguk Tanah Abang,106.81572752,-6.18571693,Jakarta Pusat
 Teguk Indonesia,Teguk Kelapa Gading,106.89042044,-6.15216523,Jakarta Utara
 Teguk Indonesia,Teguk Gelora Bung Karno,106.80263470,-6.21859120,Jakarta Pusat
 Teguk Indonesia,Teguk Cempaka Putih,106.87166426,-6.17618799,Jakarta Pusat
 Teguk Indonesia,Teguk Mardani,106.86138770,-6.19653159,Jakarta Pusat
 Teguk Indonesia,Teguk Rorotan,106.95362254,-6.15875873,Jakarta Timur
 Teguk Indonesia,Teguk Mangga Koja,106.87899561,-6.11922150,Jakarta Utara
 Teguk Indonesia,Teguk Warakas,106.97966036,-6.22169804,Jakarta Utara
 Teguk Indonesia,Teguk Kalibaru Timur,106.92996031,-6.10085292,Jakarta Utara
 Teguk Indonesia,Teguk Ciracas,106.87515782,-6.32951372,Jakarta Timur
 Teguk Indonesia,TEGUK SRENGSENG,0.00000000,0.00000000,Jakarta Barat
 Teguk Indonesia,Teguk Pkp,106.87435625,-6.34067469,Jakarta Timur
 Teguk Indonesia,Teguk Kalisari,106.86327282,-6.33978180,Jakarta Timur
 Teguk Indonesia,Teguk H. Hasan,106.85045204,-6.32666387,Jakarta Timur
 Teguk Indonesia,Teguk Lubang Buaya,106.90426836,-6.29467097,Jakarta Timur
 Teguk Indonesia,Teguk Pondok Pinang,106.77992013,-6.23024741,Jakarta Selatan
 Teguk Indonesia,Teguk Kebayoran,106.77167342,-6.22117309,Jakarta Selatan
 Teguk Indonesia,Teguk Petukangan,106.72446352,-6.12659164,Jakarta Selatan
 Teguk Indonesia,Teguk Setiabudi,106.83618710,-6.24871684,Jakarta Selatan
 Teguk Indonesia,Teguk Pancoran Barat,106.81964084,-6.32663678,Jakarta Selatan
 Teguk Indonesia,Teguk Jagakarsa,106.82112456,-6.30397982,Jakarta Selatan
 Teguk Indonesia,Teguk Harsono,106.80250693,-6.34743372,Jakarta Selatan
 Teguk Indonesia,Teguk Sawo Manila,106.84509845,-6.29676351,Jakarta Selatan
 Teguk Indonesia,Teguk Poltangan,106.78146049,-6.33723974,Jakarta Selatan
 Teguk Indonesia,Teguk Cipayung,106.79571987,-6.48752278,Jakarta Timur
 Teguk Indonesia,Teguk Curug Wetan,106.58160906,-6.31888375,Jakarta Pusat
 Teguk Indonesia,Distributor Jaktim,106.93464080,-6.22722330,Jakarta Timur
 Warung Lexy,Warung Lexy,106.84262920,-6.13617711,Jakarta Utara
 Woodfire,WOODFIRE,106.91001470,-6.24270953,Jakarta Timur
% ARABICA,% ARABICA JAKARTA FX SUDIRMAN,106.80391060,-6.22466910,Jakarta Pusat
% ARABICA,% ARABICA PONDOK INDAH MALL 2,,,Jakarta Selatan
--,SOUTH,,,Jakarta Selatan
"1 Cortone","1 Cortone",106.74250000,-6.19299000,Jakarta Barat
"100 Panda",lebak bulus,,,Jakarta Selatan
"100 Panda","100P Tes",106.81562190,-6.26628970,Jakarta Selatan
"100Panda Lavish Park","100Panda Lavish Park",106.81562190,-6.26628970,Jakarta Selatan
