Nama Restoran,Pricing,latitude,longitude
Restaurant Sederhana Minang,€€,-6.1350451,106.7199537
Ta-pah Restaurant,€€,-6.123512,106.709485
Fast Food Restaurant,,-6.1311669,106.7287858
Soto Lamongan,,-6.1428669,106.7127052
Hokben Sentra Benda,€€,-6.118053,106.6894352
Sabhumi restaurant,,-6.1983103,106.7281378
Momo Paradise Lippo Mall Puri,,-6.1884057,106.7389295
Pantai Sentosa Seafood Market,$$,-6.1825571,106.7287368
Pigcasso Puri Mall,,-6.1881987,106.7336191
Ip Man Restaurant,,-6.1397211,106.7317149
Wong Fu Kie Green Sedayu Mall Hakka Authentic Chinese Food Restaurant,,-6.1390423,106.7293032
RM.masakan padang ELOK SAIYO,,-6.1413647,106.6975413
Fast Food Restaurant,,-6.1505381,106.6998049
Rumah Makan Tanjung Beringin,,-6.1256877,106.686497
Lesehan Berkah Jaya Restaurant Flying Catfish,,-6.1070217,106.7018773
Fast Food Restaurant,,-6.1356245,106.6892081
Gift of Jaya Padang Restaurant Menceng Raya,,-6.1221534,106.7168841
Fast Food Restaurant,,-6.2149535,106.733423
Restaurant Kita Waya,$$,-6.1695,106.7168482
Sonomane Bar & Restaurant,,-6.1801794,106.7107033
Ah Mei Cafe Puri Indah Mall,$$,-6.1881905,106.7337176
Raa Cha - Puri Indah Mall,,-6.1889957,106.7343209
Fast Food Restaurant,,-6.1118237,106.7229661
"Rainbow Restaurant, Beer, and Karaoke",,-6.13617,106.731849
Golden Dragon's Restaurant & Aquatics,,-6.1257769,106.7121473
Fast Food Restaurant,,-6.1519155,106.7306407
Zamora Restaurants,,-6.1312666,106.7355441
Bro.Restaurant,,-6.1330031,106.7355758
Nasi Kapau Restaurant,,-6.1443262,106.7009905
Fast Food Restaurant,,-6.1538463,106.7165671
Dapur Ngapak Restaurant,,-6.1650617,106.7240899
Sate Khas Senayan Puri Indah Mall,$$,-6.1879267,106.7337669
Apollo Nasi Ayam Hainam - GreenLake City (FoodCity),,-6.1794615,106.7086486
Ali Ketoprak Restaurant,,-6.1776372,106.7201068
"Sate Khas Senayan, Lippo Puri Mall",$$,-6.1884775,106.7387406
One More Steak,,-6.1455616,106.7887353
Fast Food Restaurant,,-6.1745232,106.6951813
"Ayam Goreng Resap Bumbu - Coffewalk, Lippo Mall Puri",,-6.1872816,106.7393835
Warung Nasi Restaurant,,-6.2019732,106.7315791
Hiroyuki Ramen Central Kitchen Restaurant,,-6.1786166,106.7067503
Bakmi GM Puri Indah Mall,$$,-6.1878571,106.7341274
Es Teler - Puri Indah Mall,$$,-6.1882114,106.7341596
Fast Food Restaurant,,-6.1393917,106.702307
Fast Food Restaurant,,-6.1327332,106.7173021
Fast Food Restaurant,,-6.1382851,106.7355491
Roda Hidup Masakan Padang Restaurant,,-6.1571511,106.7253484
Aqila Kebab Restaurant,,-6.1523978,106.7065045
Fast Food Restaurant,,-6.1480116,106.7221267
Fast Food Restaurant,,-6.1250291,106.7207373
Nasi Goreng Sukun Restaurant,,-6.109467,106.7211238
King Hong Kong Restaurant,,-6.1309661,106.7349947
Fast Food Restaurant,,-6.1751745,106.7341087
Fast Food Restaurant,,-6.1788596,106.7176253
Fast Food Restaurant,,-6.1642847,106.7052028
Vegetarian Handi,,-6.1421964,106.8129539
Thien Thien Lai Chinese Restaurant,$$,-6.1411191,106.813291
Count Three Burger & Comfort Food - Petak Enam,,-6.1413312,106.8124737
Fast Food Restaurant,,-6.2197409,106.7335948
MyeongDong Topokki Lippo Mall Puri,,-6.1873614,106.7394291
Jajaghu Restaurant,,-6.134762,106.810866
Daun Hijau Restaurant,,-6.1417508,106.8126622
Wong Fu Kie Hakka Authentic Chinese Food Restaurant,$$,-6.1405976,106.8093558
Queen Palace,$$,-6.1313569,106.8100163
Tamani Cafe Citra Garden 6,$$,-6.1271493,106.7136358
HAO DI FANG Restaurant,,-6.1542688,106.7962169
Sushi Hime Yatai Kitchen Jelambar,,-6.158971,106.7817262
Imperial Kitchen & Dimsum - Citywalk Gajah Mada,$$,-6.1452796,106.8151479
